 20181007
 Seconds  Measures(ISO-arcsec)  Meso-NH(ISO-arcsec)  FORECAST_AR(ISO-arcsec)
       53340   1.12727773       1.63453603       1.43200004    
       53400   1.12808335       1.63312316       1.43200004    
       53460   1.12485719       1.63312316       1.43200004    
       53520   1.11965716       1.63140941       1.43200004    
       53580   1.12325001       1.63140941       1.43200004    
       53640   1.12448573       1.62923944       1.43200004    
       53700   1.12602937       1.62923944       1.43200004    
       53760   1.13372731       1.62660146       1.43200004    
       53820   1.13372731       1.62660146       1.43200004    
       53880   1.13793755       1.62410700       1.06799996    
       53940   1.14470971       1.62410700       1.06799996    
       54000   1.14516664       1.62147141       1.06799996    
       54060   1.14516664       1.62147141       1.06799996    
       54120   1.14810348       1.61886132       1.06799996    
       54180   1.14835715       1.61886132       1.06799996    
       54240   1.14835715       1.61636424       1.06799996    
       54300   1.15070367       1.61636424       1.06799996    
       54360   1.15070367       1.61387682       1.06799996    
       54420   1.15376925       1.61387682       1.06799996    
       54480   1.15831995       1.61169314       1.06799996    
       54540   1.16708338       1.61169314       1.06799996    
       54600   1.16708338       1.60961819       1.06799996    
       54660   1.16447830       1.60961819       1.06799996    
       54720   1.15940905       1.60725558       1.06799996    
       54780   1.14676189       1.60725558       1.06799996    
       54840   1.13199997       1.60475242       1.06799996    
       54900   1.13199997       1.60475242       1.06799996    
       54960   1.11836839       1.60230732       1.06799996    
       55020   1.10383332       1.60230732       1.06799996    
       55080   1.09717643       1.59988379       1.06799996    
       55140   1.09717643       1.59988379       1.06799996    
       55200   1.09717643       1.59725654       1.06799996    
       55260   1.09717643       1.59725654       1.06799996    
       55320   1.09717643       1.59478378       1.06799996    
       55380   1.09717643       1.59478378       1.06799996    
       55440   9999.00000       1.59248459       1.06799996    
       55500   9999.00000       1.59248459       1.06799996    
       55560   9999.00000       1.59057307       1.06799996    
       55620   9999.00000       1.59057307       1.06799996    
       55680   9999.00000       1.58897018       1.06799996    
       55740   9999.00000       1.58897018       1.06799996    
       55800   9999.00000       1.58745265       1.06799996    
       55860   9999.00000       1.58745265       1.06799996    
       55920   9999.00000       1.58580399       1.06799996    
       55980   9999.00000       1.58580399       1.06799996    
       56040   9999.00000       1.58385026       1.06799996    
       56100   9999.00000       1.58385026       1.06799996    
       56160   9999.00000       1.58171058       1.06799996    
       56220   9999.00000       1.58171058       1.06799996    
       56280   9999.00000       1.57941902       1.06799996    
       56340   9999.00000       1.57941902       1.06799996    
       56400   9999.00000       1.57716084       1.06799996    
       56460   9999.00000       1.57716084       1.06799996    
       56520   9999.00000       1.57498872       1.06799996    
       56580   9999.00000       1.57498872       1.06799996    
       56640   9999.00000       1.57292163       1.06799996    
       56700   9999.00000       1.57292163       1.06799996    
       56760   9999.00000       1.57098818       1.06799996    
       56820   9999.00000       1.57098818       1.06799996    
       56880   9999.00000       1.56912613       1.06799996    
       56940   9999.00000       1.56912613       1.06799996    
       57000   9999.00000       1.56730843       1.06799996    
       57060   9999.00000       1.56730843       1.06799996    
       57120   9999.00000       1.56551361       1.06799996    
       57180   9999.00000       1.56551361       1.06799996    
       57240   9999.00000       1.56378269       1.06799996    
       57300   9999.00000       1.56378269       1.06799996    
       57360   9999.00000       1.56233847       1.06799996    
       57420   9999.00000       1.56233847       1.06799996    
       57480   9999.00000       1.56134546       1.07400000    
       57540   9999.00000       1.56134546       1.07400000    
       57600   9999.00000       1.56035411       1.07400000    
       57660   9999.00000       1.56035411       1.07400000    
       57720   9999.00000       1.55938482       1.07400000    
       57780   9999.00000       1.55938482       1.07400000    
       57840   9999.00000       1.55873013       1.07400000    
       57900   9999.00000       1.55873013       1.07400000    
       57960   9999.00000       1.55841899       1.07400000    
       58020   9999.00000       1.55841899       1.07400000    
       58080   9999.00000       1.55826950       1.07400000    
       58140   9999.00000       1.55826950       1.07400000    
       58200   9999.00000       1.55806470       1.07400000    
