 20180902
 Seconds  Measures(PWV-mm)  Meso-NH(PWV-mm)  FORECAST_AR(PWV-mm)
       31200  0.816965520      0.537867725      0.838999987    
       31260  0.817655146      0.537867725      0.838999987    
       31320  0.813285708      0.537289917      0.838999987    
       31380  0.813620687      0.537289917      0.838999987    
       31440  0.811249971      0.536526024      0.838999987    
       31500  0.809827566      0.536526024      0.838999987    
       31560  0.809357166      0.535578012      0.838999987    
       31620  0.809357166      0.535578012      0.838999987    
       31680  0.807500005      0.534752131      0.838999987    
       31740  0.807500005      0.534752131      0.838999987    
       31800  0.806241393      0.533772767      0.838999987    
       31860  0.805892885      0.533772767      0.838999987    
       31920  0.804620683      0.532711923      0.838999987    
       31980  0.802793086      0.532711923      0.838999987    
       32040  0.802793086      0.531619728      0.838999987    
       32100  0.802714288      0.531619728      0.838999987    
       32160  0.804862082      0.530431867      0.838999987    
       32220  0.806999981      0.530431867      0.838999987    
       32280  0.803586185      0.529253304      0.774999976    
       32340  0.803586185      0.529253304      0.774999976    
       32400  0.802200019      0.528250158      0.774999976    
       32460  0.801758647      0.528250158      0.774999976    
       32520  0.800566673      0.527344763      0.774999976    
       32580  0.799000025      0.527344763      0.774999976    
       32640  0.798896551      0.526646852      0.774999976    
       32700  0.798896551      0.526646852      0.774999976    
       32760  0.797241390      0.526058912      0.774999976    
       32820  0.797241390      0.526058912      0.774999976    
       32880  0.795933306      0.525396407      0.774999976    
       32940  0.794300020      0.525396407      0.774999976    
       33000  0.794068992      0.524674773      0.774999976    
       33060  0.794068992      0.524674773      0.774999976    
       33120  0.790499985      0.524082184      0.774999976    
       33180  0.790241361      0.524082184      0.774999976    
       33240  0.788142860      0.523530185      0.774999976    
       33300  0.786482751      0.523530185      0.774999976    
       33360  0.786482751      0.522988558      0.774999976    
       33420  0.786499977      0.522988558      0.774999976    
       33480  0.785142839      0.522650540      0.774999976    
       33540  0.785142839      0.522650540      0.774999976    
       33600  0.783724129      0.522452533      0.774999976    
       33660  0.782068968      0.522452533      0.774999976    
       33720  0.782068968      0.522221804      0.774999976    
       33780  0.780827582      0.522221804      0.774999976    
       33840  0.780827582      0.521888912      0.774999976    
       33900  0.781071424      0.521888912      0.774999976    
       33960  0.781071424      0.521535754      0.774999976    
       34020  0.781724155      0.521535754      0.774999976    
       34080  0.778428555      0.521264672      0.774999976    
       34140  0.778428555      0.521264672      0.774999976    
       34200  0.777034461      0.521264255      0.774999976    
       34260  0.777107120      0.521264255      0.774999976    
       34320  0.775482774      0.521348476      0.774999976    
       34380  0.773758650      0.521348476      0.774999976    
       34440  0.773357153      0.521345735      0.774999976    
       34500  0.771344841      0.521345735      0.774999976    
       34560  0.771344841      0.521418691      0.774999976    
       34620  0.771107137      0.521418691      0.774999976    
       34680  0.769241393      0.521564960      0.774999976    
       34740  0.768750012      0.521564960      0.774999976    
       34800  0.767068982      0.521842182      0.774999976    
       34860  0.768517256      0.521842182      0.774999976    
       34920  0.765321434      0.522140265      0.774999976    
       34980  0.765068948      0.522140265      0.774999976    
       35040  0.763000011      0.522338927      0.774999976    
       35100  0.761482775      0.522338927      0.774999976    
       35160  0.761178553      0.522473454      0.774999976    
       35220  0.761178553      0.522473454      0.774999976    
       35280  0.760034502      0.522732913      0.774999976    
       35340  0.759535730      0.522732913      0.774999976    
       35400  0.758344829      0.523020506      0.774999976    
       35460  0.757892847      0.523020506      0.774999976    
       35520  0.757068992      0.523395896      0.774999976    
       35580  0.755793095      0.523395896      0.774999976    
       35640  0.755357146      0.523791730      0.774999976    
       35700  0.755357146      0.523791730      0.774999976    
       35760  0.755357146      0.524231732      0.774999976    
       35820  0.752892852      0.524231732      0.774999976    
       35880  0.748592615      0.524722040      0.737999976    
       35940  0.748592615      0.524722040      0.737999976    
       36000  0.747357130      0.525297344      0.737999976    
       36060  0.745750010      0.525297344      0.737999976    
       36120  0.745750010      0.525774240      0.737999976    
       36180  0.743857145      0.525774240      0.737999976    
       36240  0.743222237      0.525994122      0.737999976    
       36300  0.742035687      0.525994122      0.737999976    
       36360  0.742035687      0.526048720      0.737999976    
       36420  0.741518497      0.526048720      0.737999976    
       36480  0.740035713      0.526081145      0.737999976    
       36540  0.739370346      0.526081145      0.737999976    
       36600  0.737259269      0.526188016      0.737999976    
