 20181204
 Seconds  Measures(WD-m/s_VX)  Measures(WD-m/s_VY)  Meso-NH(WD-m/s_VX)  Meso-NH(WD-m/s_VY)  FORECAST_AR(WD-m/s_VX)  FORECAST_AR(WD-m/s_VY)
       18540   4.69610834      -11.2839165       1.90870428      -9.14079857       4.65090752      -10.5515852    
       18600   4.63802862      -11.2775488       1.91585493      -9.06224632       4.60647058      -10.4762230    
       18660   4.59739590      -11.2720222       1.91993678      -8.98609924       4.55864429      -10.4011812    
       18720   4.56383944      -11.2642059       1.92017710      -8.91044617       4.51042366      -10.3264971    
       18780   4.51057053      -11.2773275       1.91753113      -8.83315277       4.46443415      -10.2530146    
       18840   4.45419073      -11.2935295       1.91243696      -8.75477505       4.41965246      -10.1792488    
       18900   4.39038706      -11.3018064       1.90611243      -8.67579746       4.37412548      -10.1117077    
       18960   4.33435774      -11.3018246       1.90092874      -8.59467316       4.32725191      -10.0605841    
       19020   4.28575802      -11.2992144       1.89696455      -8.51371956       4.28165293      -10.0236368    
       19080   4.22806263      -11.2929230       1.89143336      -8.44175720       4.23470926      -9.99312973    
       19140   4.17274237      -11.3002920       1.88275790      -8.38412571       4.18476391      -9.97148609    
       19200   4.11565399      -11.3144550       1.87197566      -8.33982849       4.13429880      -9.95662689    
       19260   4.07205009      -11.3293991       1.85916436      -8.30616188       4.08447647      -9.94063854    
       19320   4.02884340      -11.3540449       1.84374022      -8.28108978       4.03632784      -9.92850113    
       19380   3.97960830      -11.3586674       1.82731414      -8.26243591       3.98984051      -9.91400909    
       19440   3.92269635      -11.3720837       1.81153524      -8.24753857       3.94634700      -9.89077854    
       19500   3.87265778      -11.3913546       1.79617202      -8.23330975       3.90185308      -9.85952663    
       19560   3.82707715      -11.4096308       1.78137279      -8.21615505       3.85603642      -9.81135559    
       19620   3.78289199      -11.4029055       1.76840472      -8.19113922       3.81283045      -9.74488640    
       19680   3.74472904      -11.4003992       1.75751472      -8.15070057       3.77146077      -9.67714500    
       19740   3.69863701      -11.4077587       1.74695110      -8.09112453       3.73186469      -9.60726929    
       19800   3.65894127      -11.4130507       1.73498583      -8.02104855       3.68967843      -9.52826595    
       19860   3.62497020      -11.4140768       1.72194910      -7.94811630       3.64733958      -9.45621586    
       19920   3.59566450      -11.4170647       1.70895219      -7.87087345       3.60477352      -9.39340305    
       19980   3.55150247      -11.4301233       1.69606543      -7.79062080       3.56249547      -9.33594418    
       20040   3.50342512      -11.4423761       1.68245137      -7.71493864       3.51662803      -9.28730202    
       20100   3.47009969      -11.4532890       1.66710794      -7.64950848       3.47163391      -9.24411964    
       20160   3.44134831      -11.4573145       1.64927256      -7.59475517       3.42510128      -9.20279217    
       20220   3.41007352      -11.4647484       1.62832975      -7.54847288       3.37692142      -9.16512966    
       20280   3.38534880      -11.4780979       1.60463166      -7.50746584       3.32511568      -9.13038349    
       20340   3.36047626      -11.4817619       1.58008087      -7.46934462       3.26831341      -9.09448338    
       20400   3.34048414      -11.4970779       1.55512333      -7.43289375       3.20918989      -9.06284809    
       20460   3.31155491      -11.5087671       1.52748287      -7.39683104       3.14931965      -9.04159069    
       20520   3.29006815      -11.5107975       1.49555469      -7.36032343       3.09224677      -9.02385902    
       20580   3.27137542      -11.5106621       1.46008909      -7.32555771       3.04038191      -9.00843716    
       20640   3.24863148      -11.5094900       1.42354858      -7.29669762       2.99328399      -8.99490643    
       20700   3.22192097      -11.5076656       1.38907599      -7.27357721       2.94660997      -8.97890854    
       20760   3.20232868      -11.5041790       1.35829210      -7.25313997       2.90179086      -8.96259975    
       20820   3.16672564      -11.5179710       1.33014929      -7.23371506       2.85907364      -8.94900036    
       20880   3.13306236      -11.5168638       1.30332470      -7.21468973       2.81667566      -8.93858242    
       20940   3.10792971      -11.5187397       1.27769661      -7.19621134       2.77243781      -8.93010235    
       21000   3.08238888      -11.5285997       1.25297654      -7.17984676       2.72597408      -8.92433357    
       21060   3.05705142      -11.5499554       1.22803926      -7.16690731       2.67963004      -8.92057228    
       21120   3.02728844      -11.5682116       1.20199001      -7.15716505       2.63533020      -8.91737175    
       21180   3.01191926      -11.6048889       1.17499077      -7.14993334       2.59375525      -8.91675568    
       21240   3.00164008      -11.6279182       1.14800453      -7.14471197       2.55458784      -8.92006683    
       21300   2.98668098      -11.6587267       1.12211478      -7.14091539       2.51930904      -8.92650890    
       21360   2.96827245      -11.6904087       1.09798527      -7.13843918       2.48955464      -8.93715668    
       21420   2.94524074      -11.7282734       1.07610726      -7.13812494       2.46584988      -8.95107841    
       21480   2.92879605      -11.7442045       1.05789077      -7.14116955       2.44656730      -8.96422005    
       21540   2.91527700      -11.7711964       1.04498279      -7.14813614       2.43043900      -8.97620010    
       21600   2.89012814      -11.7920780       1.03746712      -7.15826607       2.85511112      -11.8250780    
       21660   2.86985540      -11.8074608       1.03380620      -7.16959953       2.84716630      -11.8308163    
