 20190702
 Seconds  Measures(WS-m/s)  Meso-NH(WS-m/s)  FORECAST_AR(WS-m/s)
       35760   13.9965572       7.57518768       14.4086418    
       35820   14.0275412       7.62844515       14.4159784    
       35880   14.0673771       7.69938564       14.4088154    
       35940   14.0993443       7.77480030       14.3976316    
       36000   14.1472130       7.83845806       14.3907175    
       36060   14.1875410       7.88545561       14.3244963    
       36120   14.2277050       7.92360067       14.3787594    
       36180   14.2742624       7.96284485       14.4290209    
       36240   14.3221312       8.00696278       14.4686651    
       36300   14.3791800       8.05776405       14.4866819    
       36360   14.4431143       8.11272717       14.4853182    
       36420   14.4911480       8.16393375       14.4738808    
       36480   14.5504913       8.20402813       14.4653997    
       36540   14.6083603       8.22638416       14.4765253    
       36600   14.6739340       8.23399162       14.5099087    
       36660   14.7227869       8.24012756       14.5539141    
       36720   14.7831144       8.26247025       14.5989313    
       36780   14.8426228       8.31073666       14.6415491    
       36840   14.9036064       8.37750530       14.6853256    
       36900   14.9454098       8.44955635       14.7272873    
       36960   14.9831152       8.51840878       14.7570095    
       37020   15.0121307       8.58212566       14.7700272    
       37080   15.0477047       8.64092350       14.7660494    
       37140   15.0744267       8.69116783       14.7499352    
       37200   15.1050816       8.72783852       14.7230825    
       37260   15.1549177       8.74968815       14.6874809    
       37320   15.1986885       8.75929832       14.6501284    
       37380   15.2316389       8.75826931       14.6189518    
       37440   15.2595081       8.74879360       14.6016903    
       37500   15.2740984       8.73631954       14.6031599    
       37560   15.2929506       8.72900391       14.6196442    
       37620   15.3232784       8.73602486       14.6424475    
       37680   15.3616390       8.76194096       14.6614084    
       37740   15.3727865       8.80572033       14.6710424    
       37800   15.3813114       8.85838985       14.6682768    
       37860   15.4168854       8.90617085       14.6535559    
       37920   15.4488525       8.94055176       14.6274014    
       37980   15.4714756       8.95939541       14.6009560    
       38040   15.4859018       8.96390820       14.5826826    
       38100   15.5362291       8.95857239       14.5758009    
       38160   15.5673771       8.95323086       14.5737886    
       38220   15.5881968       8.95921516       14.5698881    
       38280   15.6239347       8.97946358       14.5631323    
       38340   15.6645899       9.00499535       14.5543385    
       38400   15.7080326       9.02716351       14.5423756    
       38460   15.7572126       9.04535007       14.5229893    
       38520   15.7747545       9.06207275       14.4932785    
       38580   15.8177052       9.07628822       14.4577351    
       38640   15.8516397       9.08247852       14.4262638    
       38700   15.8491802       9.07795429       14.3948050    
       38760   15.9040985       9.07065010       14.3555946    
       38820   15.9495087       9.07000542       14.3027916    
       38880   15.9852457       9.07063770       14.2429686    
       38940   16.0278683       9.06134033       14.1910048    
       39000   16.0737705       9.03584480       14.1605721    
       39060   16.1000004       9.00026608       14.1540422    
       39120   16.1332779       8.96973896       14.1584845    
       39180   16.1696720       8.95822811       14.1614552    
       39240   16.2101631       8.97288227       14.1516695    
       39300   16.2393436       9.00572777       14.1160536    
       39360   16.2704926       9.03881168       14.0623274    
       39420   16.2939339       9.05461407       14.0129786    
       39480   16.3400002       9.04433155       13.9890032    
       39540   16.3657379       9.02201366       13.9978104    
       39600   16.4059010       9.00775528       14.0272617    
       39660   16.4493446       9.01455021       16.5315456    
       39720   16.4652462       9.04539013       16.5307579    
       39780   16.4775410       9.09536743       16.5073204    
       39840   16.4813118       9.14756584       16.4697189    
       39900   16.5063934       9.18021679       16.4330254    
       39960   16.5108204       9.18767738       16.4123669    
       40020   16.5222950       9.18094158       16.4035587    
       40080   16.5237713       9.17718792       16.4074383    
       40140   16.5306549       9.18856907       16.4172134    
       40200   16.5260658       9.21020603       16.4174824    
       40260   16.5234432       9.23572636       16.3994179    
       40320   16.5452461       9.25786877       16.3771458    
       40380   16.5480328       9.27006626       16.3664227    
       40440   16.5611477       9.27452278       16.3576717    
       40500   16.5816402       9.27816677       16.3255959    
       40560   16.6100006       9.28893185       16.2782135    
       40620   16.6321316       9.30093765       16.2348404    
       40680   16.6277046       9.29783726       16.1988659    
       40740   16.6377048       9.27771473       16.1702633    
       40800   16.6647549       9.25397301       16.1445866    
       40860   16.6819668       9.24114418       16.1281090    
       40920   16.6931152       9.23989201       16.1134624    
       40980   16.6914749       9.24352741       16.0985546    
       41040   16.7103271       9.25088692       16.0838432    
       41100   16.7242622       9.26199532       16.0654297    
       41160   16.7304916       9.27283287       16.0297871    
       41220   16.7586880       9.27963543       15.9840031    
       41280   16.7767220       9.28226566       15.9377613    
